Id,External_Id__c,OrderApi__Sales_Order__c,OrderApi__Sales_Order__r.External_Id__c
a124W00000LbEqUQAV,1,,
a124W00000LbEqVQAV,2,,
a124W00000LbEqWQAV,3,,
a124W00000LbEqXQAV,4,,
a124W00000LbEqYQAV,5,,
a124W00000LbEqZQAV,6,,
a124W00000LbEqaQAF,7,,
a124W00000LbEqbQAF,8,,
a124W00000LbEqcQAF,9,,
a124W00000LbEqdQAF,10,,
a124W00000LbEtOQAV,11,,
a124W00000LbEtPQAV,12,,
a124W00000LbEtQQAV,13,,
a124W00000LbEtRQAV,14,,
a124W00000LbEtSQAV,15,,
a124W00000LbEtTQAV,16,,
a124W00000LbEtUQAV,17,,
a124W00000LbEtVQAV,18,,
a124W00000LbEtWQAV,19,,
a124W00000LbEtXQAV,20,,
a124W00000LbEtYQAV,21,,
a124W00000LbEtZQAV,22,,
a124W00000LbEtaQAF,23,,
a124W00000LbEtbQAF,24,,
a124W00000LbEwvQAF,25,,
a124W00000LbEwwQAF,26,,
a124W00000LbEwxQAF,27,,
a124W00000LbEwyQAF,28,,
a124W00000LbEwzQAF,29,,
a124W00000LbEx0QAF,30,,
a124W00000LbEx1QAF,31,,
a124W00000LbEx2QAF,32,,
a124W00000LbEx3QAF,33,,
a124W00000LbEx4QAF,34,,
a124W00000LbEx5QAF,35,,
a124W00000LbEx6QAF,36,,
a124W00000LbEx7QAF,37,,
a124W00000LbEx8QAF,38,,
a124W00000LbEqeQAF,39,,
a124W00000LbEqfQAF,40,,
a124W00000LbEqgQAF,41,,
a124W00000LbEqhQAF,42,,
a124W00000LbEqiQAF,43,,
a124W00000LbEqjQAF,44,,
a124W00000LbEqkQAF,45,,
a124W00000LbEqlQAF,46,,
a124W00000LbEqmQAF,47,,
a124W00000LbEqnQAF,48,,
a124W00000LbEqoQAF,49,,
a124W00000LbEqpQAF,50,,
a124W00000LbEtcQAF,51,,
a124W00000LbEtdQAF,52,,
a124W00000LbEteQAF,53,,
a124W00000LbEtfQAF,54,,
a124W00000LbEtgQAF,55,,
a124W00000LbEthQAF,56,,
a124W00000LbEtiQAF,57,,
a124W00000LbEtjQAF,58,,
a124W00000LbEtkQAF,59,,
a124W00000LbEtlQAF,60,,
a124W00000LbEtmQAF,61,,
a124W00000LbEtnQAF,62,,
a124W00000LbEtoQAF,63,,
a124W00000LbEtpQAF,64,,
a124W00000LbEx9QAF,65,,
a124W00000LbExAQAV,66,,
a124W00000LbExBQAV,67,,
a124W00000LbExCQAV,68,,
a124W00000LbExDQAV,69,,
a124W00000LbExHQAV,70,,
a124W00000LbExIQAV,71,,
a124W00000LbExJQAV,72,,
a124W00000LbExKQAV,73,,
a124W00000LbExLQAV,74,,
a124W00000LbExMQAV,75,,
