Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,EventApi__City__c,EventApi__Country__c,EventApi__Description__c,EventApi__Display_Map__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Image_URL__c,EventApi__Is_Primary_Venue__c,EventApi__Phone__c,EventApi__Postal_Code__c,EventApi__State__c,EventApi__Street__c,EventApi__Website__c,EventApi__HTML_Description__c,EventApi__Event_Location__Latitude__s,EventApi__Event_Location__Longitude__s,EventApi__Event_Location__c,LastViewedDate,LastReferencedDate,EventApi__Event_Category__r.Name,EventApi__Event__r.Name
a1l4W0000030lMAQAY,false,W Hotel DC,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,,,
a1l4W0000030lMBQAY,false,W Hotel DC,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,,,
a1l4W0000030lMCQAY,false,Washington Hilton,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,,,
a1l4W0000030lMDQAY,false,W Hotel DC,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,,,
a1l4W0000030lMEQAY,false,Washington Hilton,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,,,
a1l4W0000030lMFQAY,false,W Hotel DC,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,,,
a1l4W0000030lMGQAY,false,Washington Hilton,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,,,
a1l4W0000030lMHQAY,false,W Hotel DC,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,,,
a1l4W0000030lMIQAY,false,Washington Hilton,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,,,
a1l4W0000030lMJQAY,false,W Hotel DC,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,,,
