Id,Name,OrderApi__Current_Num_Available__c,OrderApi__End_Date__c,OrderApi__Is_Active__c,OrderApi__Is_Default__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Limit_Per_Account__c,OrderApi__Limit_Per_Contact__c,OrderApi__Max_Assignments__c,OrderApi__Max_Num_Available__c,OrderApi__Max_Quantity__c,OrderApi__Min_Assignments__c,OrderApi__Min_Quantity__c,OrderApi__Num_Times_Used__c,OrderApi__Price__c,OrderApi__Required_Badge_Types__c,OrderApi__Required_Source_Codes__c,OrderApi__Required_Subscription_Plans__c,OrderApi__Start_Date__c,EventApi__Schedule_Item__c,PriceApi__Bulk_Price_Rule__c,EventApi__Is_Early_Bird_Price__c,EventApi__Is_On_Site_Price__c,OrderApi__Is_Promotional_Price__c,OrderApi__Tax_Inclusive_Price__c,OrderApi__Additional_Currencies_JSON__c,OrderApi__Item_Class__r.Id,OrderApi__Item__r.Id,EventApi__Schedule_Item__r.Id,PriceApi__Bulk_Price_Rule__r.Id
a1C4W00000845PnUAI,DEFAULT,,,true,true,,a154W00000926YTQAY,,,,,,,,0,0,,,,,a1d4W00000jHX42QAG,,false,false,false,0,,,a154W00000926YTQAY,a1d4W00000jHX42QAG,
a1C4W00000845PoUAI,DEFAULT,,,true,true,,a154W00000926YUQAY,,,,,,,,0,0,,,,,a1d4W00000jHX43QAG,,false,false,false,0,,,a154W00000926YUQAY,a1d4W00000jHX43QAG,
a1C4W00000845PpUAI,DEFAULT,,,true,true,,a154W00000926YVQAY,,,,,,,,0,25,,,,,a1d4W00000jHX44QAG,,false,false,false,25,,,a154W00000926YVQAY,a1d4W00000jHX44QAG,
a1C4W00000845PqUAI,DEFAULT,,,true,true,,a154W00000926YWQAY,,,,,,,,0,0,,,,,a1d4W00000jHX45QAG,,false,false,false,0,,,a154W00000926YWQAY,a1d4W00000jHX45QAG,
a1C4W00000845PrUAI,DEFAULT,,,true,true,,a154W00000926YXQAY,,,,,,,,0,0,,,,,a1d4W00000jHX46QAG,,false,false,false,0,,,a154W00000926YXQAY,a1d4W00000jHX46QAG,
a1C4W00000845PsUAI,DEFAULT,,,true,true,,a154W00000926YYQAY,,,,,,,,0,0,,,,,a1d4W00000jHX47QAG,,false,false,false,0,,,a154W00000926YYQAY,a1d4W00000jHX47QAG,
a1C4W00000845PtUAI,DEFAULT,,,true,true,,a154W00000926YZQAY,,,,,,,,0,0,,,,,a1d4W00000jHX48QAG,,false,false,false,0,,,a154W00000926YZQAY,a1d4W00000jHX48QAG,
a1C4W00000845PuUAI,DEFAULT,,,true,true,,a154W00000926YaQAI,,,,,,,,0,4000,,,,,,,false,false,false,4000,,,a154W00000926YaQAI,,
a1C4W00000845PvUAI,DEFAULT,,,true,true,,a154W00000926YbQAI,,,,,,,,0,10111,,,,,,,false,false,false,10111,,,a154W00000926YbQAI,,
a1C4W00000845PwUAI,DEFAULT,,,true,true,,a154W00000926YcQAI,,,,,,,,0,6000,,,,,,,false,false,false,6000,,,a154W00000926YcQAI,,
a1C4W00000845PxUAI,DEFAULT,,,true,true,,a154W00000926YdQAI,,,,,,,,0,4000,,,,,,,false,false,false,4000,,,a154W00000926YdQAI,,
a1C4W00000845PyUAI,DEFAULT,,,true,true,,a154W00000926YeQAI,,,,,,,,0,10111,,,,,,,false,false,false,10111,,,a154W00000926YeQAI,,
a1C4W00000845PzUAI,DEFAULT,,,true,true,,a154W00000926YfQAI,,,,,,,,0,6000,,,,,,,false,false,false,6000,,,a154W00000926YfQAI,,
a1C4W00000845Q0UAI,DEFAULT,,,true,true,,a154W00000926YgQAI,,,,,,,,0,100,,,,,,,false,false,false,100,,,a154W00000926YgQAI,,
a1C4W00000845Q1UAI,DEFAULT,,,true,true,,a154W00000926YhQAI,,,,,,,,0,200,,,,,,,false,false,false,200,,,a154W00000926YhQAI,,
a1C4W00000845Q2UAI,DEFAULT,,,true,true,,a154W00000926YiQAI,,,,,,,,0,25,,,,,a1d4W00000jHX49QAG,,false,false,false,25,,,a154W00000926YiQAI,a1d4W00000jHX49QAG,
