Id,Name,OrderApi__Price_Rule__c,OrderApi__Field__c,OrderApi__Object__c,OrderApi__Operator__c,OrderApi__Value__c,OrderApi__Price_Rule__r.Id
a1B4W00000UmdRXUAZ,000000087,a1C4W00000845ToUAI,state_chapter__c,contact,equals,Virginia,a1C4W00000845ToUAI
a1B4W00000UmdRYUAZ,000000088,a1C4W00000845LVUAY,state_chapter__c,contact,equals,California,a1C4W00000845LVUAY
a1B4W00000UmdRZUAZ,000000089,a1C4W00000845LVUAY,state_chapter__c,contact,equals,California,a1C4W00000845LVUAY
a1B4W00000UmdRaUAJ,000000090,a1C4W00000845LVUAY,state_chapter__c,contact,equals,California,a1C4W00000845LVUAY
a1B4W00000UmdRbUAJ,000000091,a1C4W00000845KPUAY,state_chapter__c,contact,contains,New York,a1C4W00000845KPUAY
a1B4W00000UmdRcUAJ,000000092,a1C4W00000845KPUAY,state_chapter__c,contact,contains,New York,a1C4W00000845KPUAY
a1B4W00000UmdRdUAJ,000000093,a1C4W00000845TpUAI,local_chapter__c,contact,equals,Arlington,a1C4W00000845TpUAI
a1B4W00000UmdReUAJ,000000094,a1C4W00000845TpUAI,local_chapter__c,contact,equals,Arlington,a1C4W00000845TpUAI
a1B4W00000UmdRfUAJ,000000095,a1C4W00000845TpUAI,local_chapter__c,contact,equals,Arlington,a1C4W00000845TpUAI
a1B4W00000UmdRgUAJ,000000096,a1C4W00000845LPUAY,local_chapter__c,contact,equals,Los Angeles,a1C4W00000845LPUAY
a1B4W00000UmdRhUAJ,000000097,a1C4W00000845LPUAY,local_chapter__c,contact,equals,Los Angeles,a1C4W00000845LPUAY
a1B4W00000UmdRiUAJ,000000098,a1C4W00000845LQUAY,local_chapter__c,contact,equals,New York,a1C4W00000845LQUAY
a1B4W00000UmdRjUAJ,000000100,a1C4W00000845TqUAI,assistantname,contact,not equal to,Sarah,a1C4W00000845TqUAI
a1B4W00000UmdRkUAJ,000000009,a1C4W00000845TrUAI,name,contact,contains,Bob Kelly,a1C4W00000845TrUAI
a1B4W00000UmdRlUAJ,000000056,a1C4W00000845TsUAI,name,account,equals,FON-ABC Corporations,a1C4W00000845TsUAI
