Id,OrderApi__Receipt_Line__c,OrderApi__Term__c,Name,OrderApi__Subscription__c,OrderApi__Activated_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Assignments_Available__c,OrderApi__Invoice_Line__c,OrderApi__Invoiced_Date__c,OrderApi__Is_Amendment__c,OrderApi__Is_Invoiced__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Subscription_Line__c,OrderApi__Subtotal__c,OrderApi__Total__c,OrderApi__Is_Required_Package_Item__c,OrderApi__Receipt_Line__r.Id,OrderApi__Term__r.Id,OrderApi__Subscription__r.Id,OrderApi__Invoice_Line__r.Id,OrderApi__Item_Class__r.Id,OrderApi__Item__r.Id,OrderApi__Price_Rule__r.Id,OrderApi__Sales_Order_Line__r.Id,OrderApi__Subscription_Line__r.Id
a1Q4W000003fqW8UAI,,a1H4W00000BB53NUAT,000000399,a1S4W000004D1RcUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZmbUAH,a1Q4W000003fqW2UAI,300,300,false,,a1H4W00000BB53NUAT,a1S4W000004D1RcUAK,,a134W000009DZGIQA4,a154W00000926R6QAI,a1C4W00000845KNUAY,a1I4W00000HFZmbUAH,a1Q4W000003fqW2UAI
a1Q4W000003fqW9UAI,,a1H4W00000BB53OUAT,000000400,a1S4W000004D1RfUAK,2020-03-30,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,false,a1C4W00000845KlUAI,1,900,a1I4W00000HFZmcUAH,,900,900,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926QzQAI,a1C4W00000845KlUAI,a1I4W00000HFZmcUAH,
a1Q4W000003fqWAUAY,,a1H4W00000BB53OUAT,000000401,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,true,a1C4W00000845KmUAI,1,60,a1I4W00000HFZmdUAH,a1Q4W000003fqW9UAI,60,60,true,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926R0QAI,a1C4W00000845KmUAI,a1I4W00000HFZmdUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWBUAY,,a1H4W00000BB53OUAT,000000402,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,false,a1C4W00000845KlUAI,1,900,a1I4W00000HFZmhUAH,a1Q4W000003fqW9UAI,900,900,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926QzQAI,a1C4W00000845KlUAI,a1I4W00000HFZmhUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWCUAY,,a1H4W00000BB53OUAT,000000403,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,false,a1C4W00000845KnUAI,1,40,a1I4W00000HFZmkUAH,a1Q4W000003fqW9UAI,40,40,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926R1QAI,a1C4W00000845KnUAI,a1I4W00000HFZmkUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWDUAY,,a1H4W00000BB53OUAT,000000404,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,false,a1C4W00000845KoUAI,1,150,a1I4W00000HFZmlUAH,a1Q4W000003fqW9UAI,150,150,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926QuQAI,a1C4W00000845KoUAI,a1I4W00000HFZmlUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWEUAY,,a1H4W00000BB53OUAT,000000405,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,false,a1C4W00000845KpUAI,1,45,a1I4W00000HFZmfUAH,a1Q4W000003fqW9UAI,45,45,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926RDQAY,a1C4W00000845KpUAI,a1I4W00000HFZmfUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWFUAY,,a1H4W00000BB53OUAT,000000406,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZmmUAH,a1Q4W000003fqW9UAI,300,300,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926R6QAI,a1C4W00000845KNUAY,a1I4W00000HFZmmUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWGUAY,,a1H4W00000BB53OUAT,000000407,a1S4W000004D1RfUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,false,a1C4W00000845KoUAI,2,150,a1I4W00000HFZmjUAH,a1Q4W000003fqW9UAI,300,300,false,,a1H4W00000BB53OUAT,a1S4W000004D1RfUAK,,a134W000009DZGIQA4,a154W00000926QuQAI,a1C4W00000845KoUAI,a1I4W00000HFZmjUAH,a1Q4W000003fqW9UAI
a1Q4W000003fqWHUAY,,a1H4W00000BB53PUAT,000000408,a1S4W000004D1RgUAK,2020-03-30,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RWQAY,Company Membership,5000,true,a1C4W00000845KxUAI,1,416.67,a1I4W00000HFZmrUAH,,416.67,416.67,false,,a1H4W00000BB53PUAT,a1S4W000004D1RgUAK,,a134W000009DZGNQA4,a154W00000926RWQAY,a1C4W00000845KxUAI,a1I4W00000HFZmrUAH,
