Id,Name,External_Id__c,EventApi__Section__c,EventApi__Is_Assigned__c,EventApi__Seat_Number__c,EventApi__Section__r.External_Id__c
a284W00000N1GHEQA3,SEAT-00000192,1,a2A4W0000072n2DUAQ,true,1,1
a284W00000N1GHFQA3,SEAT-00000193,2,a2A4W0000072n2DUAQ,true,2,1
a284W00000N1GHGQA3,SEAT-00000194,3,a2A4W0000072n2DUAQ,true,3,1
a284W00000N1GHHQA3,SEAT-00000195,4,a2A4W0000072n2DUAQ,true,4,1
a284W00000N1GHLQA3,SEAT-00000196,5,a2A4W0000072n2DUAQ,false,5,1
a284W00000N1GHMQA3,SEAT-00000197,6,a2A4W0000072n2DUAQ,false,6,1
a284W00000N1GHNQA3,SEAT-00000198,7,a2A4W0000072n2DUAQ,false,7,1
a284W00000N1GHOQA3,SEAT-00000199,8,a2A4W0000072n2DUAQ,false,8,1
a284W00000N1GHPQA3,SEAT-00000200,9,a2A4W0000072n2DUAQ,false,9,1
a284W00000N1GHQQA3,SEAT-00000201,10,a2A4W0000072n2DUAQ,false,10,1
a284W00000N1GHRQA3,SEAT-00000202,11,a2A4W0000072n2DUAQ,false,11,1
a284W00000N1GHSQA3,SEAT-00000203,12,a2A4W0000072n2DUAQ,false,12,1
a284W00000N1GHTQA3,SEAT-00000204,13,a2A4W0000072n2DUAQ,false,13,1
a284W00000N1GHUQA3,SEAT-00000205,14,a2A4W0000072n2DUAQ,false,14,1
a284W00000N1GHVQA3,SEAT-00000206,15,a2A4W0000072n2DUAQ,false,15,1
a284W00000N1GHWQA3,SEAT-00000207,16,a2A4W0000072n2DUAQ,false,16,1
a284W00000N1GHXQA3,SEAT-00000208,17,a2A4W0000072n2DUAQ,false,17,1
a284W00000N1GHYQA3,SEAT-00000209,18,a2A4W0000072n2DUAQ,false,18,1
a284W00000N1GHZQA3,SEAT-00000210,19,a2A4W0000072n2DUAQ,false,19,1
a284W00000N1GHaQAN,SEAT-00000211,20,a2A4W0000072n2DUAQ,false,20,1
a284W00000N1GHbQAN,SEAT-00000212,21,a2A4W0000072n2DUAQ,false,21,1
a284W00000N1GHcQAN,SEAT-00000213,22,a2A4W0000072n2DUAQ,false,22,1
a284W00000N1GHdQAN,SEAT-00000214,23,a2A4W0000072n2DUAQ,false,23,1
a284W00000N1GHeQAN,SEAT-00000215,24,a2A4W0000072n2DUAQ,false,24,1
a284W00000N1GHfQAN,SEAT-00000216,25,a2A4W0000072n2DUAQ,false,25,1
a284W00000N1GHgQAN,SEAT-00000217,26,a2A4W0000072n2DUAQ,false,26,1
a284W00000N1GHhQAN,SEAT-00000218,27,a2A4W0000072n2DUAQ,false,27,1
a284W00000N1GHiQAN,SEAT-00000219,28,a2A4W0000072n2DUAQ,false,28,1
a284W00000N1GHjQAN,SEAT-00000220,29,a2A4W0000072n2DUAQ,false,29,1
a284W00000N1GHkQAN,SEAT-00000221,30,a2A4W0000072n2DUAQ,false,30,1
a284W00000N1GHlQAN,SEAT-00000222,31,a2A4W0000072n2EUAQ,false,1,2
a284W00000N1GHmQAN,SEAT-00000223,32,a2A4W0000072n2EUAQ,false,2,2
a284W00000N1GHnQAN,SEAT-00000224,33,a2A4W0000072n2EUAQ,false,3,2
a284W00000N1GHoQAN,SEAT-00000225,34,a2A4W0000072n2EUAQ,false,4,2
