Id,External_Id__c,ProgramApi__Profile__c,ProgramApi__Profile__r.External_Id__c
a1u4W0000048oZXQAY,1,a1t4W000004RvIRQA0,6
a1u4W0000048oZZQAY,2,a1t4W000004RvITQA0,8
a1u4W0000048oZaQAI,3,a1t4W000004RvIUQA0,9
a1u4W0000048oZbQAI,4,a1t4W000004RvIVQA0,10
a1u4W0000048oZcQAI,5,a1t4W000004RvIWQA0,11
a1u4W0000048oZdQAI,6,a1t4W000004RvIXQA0,12
a1u4W0000048oZeQAI,7,a1t4W000004RvIYQA0,13
a1u4W0000048oZfQAI,8,a1t4W000004RvIZQA0,14
a1u4W0000048oZgQAI,9,a1t4W000004RvIaQAK,15
a1u4W0000048oZhQAI,10,a1t4W000004RvIbQAK,16
a1u4W0000048oZiQAI,11,a1t4W000004RvIhQAK,17
a1u4W0000048oZjQAI,12,a1t4W000004RvIcQAK,1
a1u4W0000048oZkQAI,13,a1t4W000004RvIdQAK,2
a1u4W0000048oZlQAI,14,a1t4W000004RvIfQAK,3
a1u4W0000048oZmQAI,15,a1t4W000004RvIgQAK,4
a1u4W0000048oZnQAI,16,a1t4W000004RvIeQAK,5
a1u4W0000048oZoQAI,17,a1t4W000004RvIiQAK,18
a1u4W0000048oZpQAI,18,a1t4W000004RvIlQAK,21
a1u4W0000048oZqQAI,19,a1t4W000004RvImQAK,22
a1u4W0000048oZzQAI,20,,
a1u4W0000048oZvQAI,21,,
a1u4W0000048oZrQAI,22,a1t4W000004RvIjQAK,19
a1u4W0000048oZsQAI,23,a1t4W000004RvIkQAK,20
a1u4W0000048oZtQAI,24,a1t4W000004RvIkQAK,20
a1u4W0000048oZYQAY,25,a1t4W000004RvISQA0,7
a1u4W0000048oZuQAI,26,a1t4W000004RvIkQAK,20
a1u4W0000048oZwQAI,27,,
a1u4W0000048oZxQAI,28,,
a1u4W0000048oZyQAI,29,,
