OrderApi__Price_Rule__c,OrderApi__Field__c,OrderApi__Object__c,OrderApi__Operator__c,OrderApi__Value__c,Errors,Id
a1KR0000004y1lKMAQ,state_chapter__c,contact,equals,Virginia,,a1JR0000002uy31MAA
a1KR0000004y1lLMAQ,state_chapter__c,contact,equals,California,,a1JR0000002uy32MAA
a1KR0000004y1lLMAQ,state_chapter__c,contact,equals,California,,a1JR0000002uy33MAA
a1KR0000004y1lLMAQ,state_chapter__c,contact,equals,California,,a1JR0000002uy34MAA
a1KR0000004y1lMMAQ,state_chapter__c,contact,contains,New York,,a1JR0000002uy35MAA
a1KR0000004y1lMMAQ,state_chapter__c,contact,contains,New York,,a1JR0000002uy36MAA
a1KR0000004y1lNMAQ,local_chapter__c,contact,equals,Arlington,,a1JR0000002uy37MAA
a1KR0000004y1lNMAQ,local_chapter__c,contact,equals,Arlington,,a1JR0000002uy38MAA
a1KR0000004y1lNMAQ,local_chapter__c,contact,equals,Arlington,,a1JR0000002uy39MAA
a1KR0000004y1lOMAQ,local_chapter__c,contact,equals,Los Angeles,,a1JR0000002uy3AMAQ
a1KR0000004y1lOMAQ,local_chapter__c,contact,equals,Los Angeles,,a1JR0000002uy3BMAQ
a1KR0000004y1lPMAQ,local_chapter__c,contact,equals,New York,,a1JR0000002uy3CMAQ
a1KR0000004y1k7MAA,assistantname,contact,not equal to,Sarah,,a1JR0000002uy3DMAQ
a1KR0000004y1kDMAQ,name,contact,contains,Bob Kelly,,a1JR0000002uy3EMAQ
a1KR0000004y1kKMAQ,name,account,equals,FON-ABC Corporations,,a1JR0000002uy3FMAQ
